student_id;group_code;name;sex;birthday;has_children;diploma_teacher_id;diploma_topic;scholarship
1;НЕ-81;Копач Уличан Златович;ч;2001-02-25;0;;;1300
2;ФА-83;Паламар Щедрогост Любомирович;ч;2001-08-16;0;;;1300
3;ФА-91;Родзянко Добрисвіт Ярославович;ч;2002-08-15;0;;;1300
4;НО-81;Гайда Любомил Добромирович;ч;2000-09-07;0;;;1300
5;ФА-73;Щурат Доброслав Тимурович;ч;1999-07-14;0;22;Побудова асимптотичних оптимальних оцінок для невідомих параметрів законів розподілу та функцій від цих параметрів;0
6;НТ-91;Мацьків Живорід Максимович;ч;2002-01-08;0;;;1300
7;НТ-71;Малько Звенигор Тимурович;ч;1999-01-10;0;4;Детерміністське прогнозування чисельності видів;1892
8;КП-82;Будкевич Рафаїл Полянович;ч;2000-05-29;0;;;0
9;КП-81;Дзядик Любомир Радимович;ч;2000-04-08;0;;;0
10;НТ-91;Багрій Йоханес Панасович;ч;2002-03-11;0;;;0
11;ФА-03;Починок Ясен Пилипович;ч;2003-06-05;0;;;0
12;ФА-71;Даценко Шерлок Арсенович;ч;1999-03-20;0;16;Інтегровні тензорні поля на рімановому многовиді;1892
13;КП-92;Дідик Зорегляд Азарович;ч;2002-06-26;0;;;0
14;НТ-81;Височанський Еммануїл Семенович;ч;2001-06-01;0;;;1300
15;КП-92;Лобода Геннадій Олегович;ч;2002-02-24;0;;;1300
16;ФА-83;Мотричко Немир Ігорович;ч;2001-06-08;0;;;1300
17;КП-72;Гунчак Дибач Никодимович;ч;1999-05-21;0;17;Адаптивне прогнозування;0
18;НО-91;Макар Величко Азарович;ч;2002-04-25;0;;;1300
19;ФА-71;Купченко Ян Златович;ч;1999-10-22;0;6;Використання методів машинного навчання для знаходження прихованих закономірностей в даних акселерометрів біометричних паттернів людини;1300
20;НТ-91;Горак Григорій Семенович;ч;2002-02-23;0;;;1300
21;НЕ-01;Варивода Йонас Остапович;ч;2003-06-20;0;;;1300
22;НТ-81;Осипчук Мирогост Соломонович;ч;2001-07-01;0;;;1300
23;НЕ-91;Рославець Еммануїл Вітанович;ч;2002-07-10;0;;;1300
24;КП-72;Мичко Есфір Костянтинович;ч;1999-06-22;0;30;Методи комп'ютерного зору для визначення поведінки людей у ??натовпі;0
25;ФА-71;Нетреба Йошка Денисович;ч;1999-09-20;0;18;Регуляризовані алгоритми ідентифікації складних систем у класі моделей регресії;0
26;НТ-01;Кончаловський Рус Леонідович;ч;2003-08-08;0;;;0
27;НО-91;Мухопад Драгомир Бажанович;ч;2002-06-09;0;;;1300
28;КП-72;Ліщинський Держислав Костянтинович;ч;1999-08-23;0;30;Прийняття рішень в умовах невизначеності інформації;0
29;НО-01;Воробкевич Юліан Никодимович;ч;2003-07-18;0;;;0
30;НО-91;Венгринович Аврелій Адріанович;ч;2002-06-03;0;;;0
31;ФА-02;Шаптала Тімох Вітанович;ч;2003-03-20;0;;;1300
32;КП-82;Політило Шерлок Ярославович;ч;2000-04-19;0;;;1300
33;НТ-71;Будянський Велет Милославович;ч;1999-09-28;0;4;Побудова і дослідження моделей практичних задач передбачення на основі методів якісного аналізу;0
34;НО-71;Герасименко Уличан Юхимович;ч;1999-02-17;0;5;Демографічна ситуація в Україні: проблеми та шляхи її вирішення;0
35;НО-71;Кісь Хорив Костянтинович;ч;1999-04-14;0;5;Демографічна ситуація в Україні: тенденції розвитку та ризику;0
36;НТ-81;Безкровний Держислав Захарович;ч;2000-09-02;0;;;0
37;КП-01;Коссак Ізяслав Світанович;ч;2003-09-11;0;;;1300
38;ФА-03;Жоравка Тімох Тарасович;ч;2003-05-15;0;;;1300
39;НЕ-01;Рибалка Явір Ярославович;ч;2003-08-27;0;;;1300
40;ФА-81;Медяник Мир Йосипович;ч;2001-02-18;0;;;0
41;НТ-91;Андрейченко Перемисл Омелянович;ч;2001-11-22;0;;;0
42;КП-72;Хмелецький Синьоок Зорянович;ч;1999-03-25;0;15;Аналіз та оптимізація бізнес-процесів;0
43;ФА-91;Богдашевський Гліб Яромирович;ч;2002-09-05;0;;;0
44;КП-81;Дутка Едуард Адамович;ч;2000-05-26;0;;;0
45;КП-81;Перетятько Юрій Макарович;ч;2000-06-28;0;;;0
46;КП-81;Мережко Царко Гордиславович;ч;2000-07-09;0;;;0
47;КП-92;Дацко Домослав Захарович;ч;2001-09-30;0;;;1300
48;ФА-71;Горчинський Киян Адамович;ч;1999-08-26;0;6;Ідентифікація складних систем в умовах невизначеності з використанням методів регуляризації;1300
49;КП-02;Дупленко Веселан Жданович;ч;2003-02-21;0;;;1300
50;ФА-81;Гришко Євген Іванович;ч;2000-08-24;0;;;1300
51;ФА-71;Іллєнко Любослав Леонідович;ч;1999-11-14;1;6;Аналіз банкрутства підприємств генеративно-змагальними нейронними мережами;0
52;ФА-02;Дичковський Зиновій Світанович;ч;2003-05-17;0;;;0
53;НТ-81;Скрипчук Честислав Адріанович;ч;2001-05-19;0;;;0
54;ФА-03;Рева Устим Ратиборович;ч;2003-09-14;0;;;0
55;ФА-91;Стахів Іоанн Левович;ч;2002-07-12;0;;;0
56;КП-81;Бандура Йонас Антонович;ч;2000-02-02;0;;;0
57;КП-92;Литовченко Твердигост Орестович;ч;2002-03-28;0;;;0
58;НТ-91;Ревакович Царко Мстиславович;ч;2002-01-27;0;;;0
59;КП-82;Роєнко Ігор Августинович;ч;2000-01-23;0;;;0
60;КП-02;Бевз Цвітан Ярославович;ч;2003-01-09;0;;;0
61;НТ-91;Желіба Еразм Бажанович;ч;2002-01-24;0;;;0
62;ФА-73;Шекун Євстафій Азарович;ч;1999-02-04;0;6;Дослідження ефективності методів штучного інтелекту в задачах пошуків екстремумів мультимодальних функцій;1300
63;ФА-81;Жупанський Гнат Тимурович;ч;2001-02-27;0;;;1300
64;ФА-81;Ющук Августин Устимович;ч;2000-07-28;0;;;0
65;КП-72;Пласконіс Анастасій Ярославович;ч;1999-05-26;0;17;Моделі розповсюдження знань та інновацій;0
66;ФА-81;Данканич Євлампій Юліанович;ч;2000-05-30;0;;;0
67;ФА-81;Кононенко Царко Йосипович;ч;2000-01-30;0;;;0
68;ФА-03;Зарудний Яснозір Орестович;ч;2003-09-04;0;;;0
69;КП-72;Давидюк Милан Бажанович;ч;1999-04-16;0;17;Застосування методів оптимізації ;0
70;ФА-81;Суходуб Фрол Артемович;ч;2000-12-17;0;;;0
71;КП-82;Федоренко Герасим Ростиславович;ч;2000-03-10;0;;;1300
72;КП-81;Пасенюк Собіслав Радимович;ч;2001-07-10;0;;;1300
73;ФА-02;Горілий Доброгост Адріанович;ч;2003-03-28;0;;;0
74;НЕ-01;Колодій Шерлок Антонович;ч;2003-07-08;0;;;0
75;КП-92;Сибіга Йосеф Чеславович;ч;2002-05-04;0;;;0
76;НЕ-71;Гомоляка Онуфрій Арсенович;ч;1999-06-15;0;27;Моделі обернених задач для інтегральних рівнянь Фредгольма і Вольтера першого роду;0
77;НЕ-81;Юхимович Братислав Зорянович;ч;2001-01-11;0;;;0
78;ФА-81;Шекун Всевлад Добромирович;ч;2000-01-07;0;;;1300
79;КП-92;Самойлович Звенислав Зорянович;ч;2002-10-30;0;;;0
80;НТ-01;Дехта Собімир Мстиславович;ч;2002-12-31;0;;;0
81;КП-92;Янушевський Честислав Пилипович;ч;2001-10-23;0;;;1300
82;КП-72;Яланський Житомир Вікторович;ч;1999-04-08;0;30;Аналіз та оптимізація показників комп’ютерних мереж;0
83;НТ-01;Чубатенко Захар Глібович;ч;2003-05-09;0;;;1300
84;НТ-81;Коссак Красун Полянович;ч;2001-07-08;0;;;1300
85;КП-92;Юрків Чернин Адамович;ч;2002-10-01;0;;;1300
86;КП-71;Стець Щастибог Мстиславович;ч;1999-01-06;0;8;Побудова інформаційної системи;0
87;НЕ-01;Ярчук Хвалибог Володимирович;ч;2003-10-29;0;;;1300
88;НО-91;Градовський Щастислав Вікторович;ч;2002-08-16;0;;;1300
89;ФА-91;Писанко Шерлок Левович;ч;2002-05-08;0;;;1300
90;ФА-81;Писарчук Шерлок Глібович;ч;2001-05-04;1;;;1300
91;НЕ-81;Савицький Йоханес Герасимович;ч;2001-06-22;0;;;0
92;ФА-81;Кучерявий Добрик Тихонович;ч;2001-05-23;0;;;0
93;НТ-71;Волинець Бративой Олександрович;ч;1999-06-02;0;13;Формалізація та моделювання бізнес-процесів у задачах управління складними об’єктами ;0
94;НЕ-81;Копил Корнило Пилипович;ч;2001-03-25;0;;;0
95;НО-91;Слюсарчук Світолюб Антонович;ч;2002-10-10;1;;;1300
96;ФА-01;Гаккебуш Артур Августинович;ч;2003-12-15;0;;;0
97;НО-91;Лучицький Дар Любомирович;ч;2001-12-13;0;;;0
98;КП-02;Мізерний Ладимир Адріанович;ч;2003-05-15;0;;;1300
99;НЕ-81;Євдокименко Тригост Панасович;ч;2001-02-27;0;;;0
100;НО-01;Шило Любомисл Ярославович;ч;2003-05-22;0;;;1300
101;КП-71;Качмарський Ростун Семенович;ч;1999-02-12;0;17;Аналіз ризиків в задачах інформаційної безпеки;0
102;ФА-81;Троценко Киян Вадимович;ч;2000-09-18;0;;;0
103;КП-81;Шеремета Іларіон Вікторович;ч;2000-03-18;0;;;0
104;КП-81;Федорчук Святослав Добромирович;ч;2000-12-12;0;;;0
105;ФА-81;Бойченко Ігор Радимович;ч;2001-03-21;0;;;1300
106;НЕ-91;Микитенко Сніжан Орестович;ч;2002-09-28;0;;;1892
107;ФА-71;Погорецький Шаміль Захарович;ч;1999-10-11;0;29;Оцінювання стану складних динамічних систем в умовах невизначеності;1300
108;НЕ-91;Стефанів Йоханес Семенович;ч;2002-09-17;0;;;0
109;ФА-81;Купченко Подолян Чеславович;ч;2000-03-18;0;;;0
110;КП-01;Кальницький Братослав Богуславович;ч;2002-12-20;0;;;1300
111;НТ-81;Девдюк Ждан Августинович;ч;2001-02-07;0;;;0
112;КП-81;Прокопчук Воротислав Милославович;ч;2000-05-30;0;;;1892
113;НТ-81;Семеренко Бажан Августинович;ч;2000-08-27;0;;;1300
114;НО-91;Юрчишин Никифор Левович;ч;2002-03-10;0;;;1300
115;НЕ-71;Прокопенко Чара Костянтинович;ч;1999-06-24;0;27;Cамоорганізація в технічних системах;0
116;ФА-83;Блажевський Щастибог Богуславович;ч;2001-07-11;0;;;0
117;КП-82;Писаревський Златомир Русланович;ч;2001-09-17;0;;;0
118;ФА-83;Кудрик Царко Богуславович;ч;2001-06-14;0;;;0
119;НТ-81;Моргун Чернин Антонович;ч;2000-11-07;0;;;0
120;НЕ-71;Пісецький Ждан Романович;ч;1999-08-01;0;27;Еволюція високопродуктивних обчислювальних системи;0
121;НТ-71;Біляцький Устим Тихонович;ч;1999-07-21;0;27;Розробка і дослідження моделей і методів підтримки прийняття рішень на основі експертної інформації;0
122;НТ-91;Мандрика Корнилій Захарович;ч;2001-10-30;0;;;0
123;НТ-91;Крохмалюк Вірослав Ігорович;ч;2002-04-22;0;;;0
124;ФА-83;Готра Йомер Борисович;ч;2001-06-23;0;;;0
125;КП-82;Семенчук Переяслав Гордиславович;ч;2001-08-17;0;;;0
126;ФА-81;Чернець Фауст Устимович;ч;2000-12-02;0;;;0
127;НТ-91;Вовкодав Василь Романович;ч;2002-04-26;0;;;1300
128;КП-81;Яремко Творимир Тихонович;ч;2000-05-09;0;;;0
129;КП-81;Стеценко Предислав Давидович;ч;2001-07-02;0;;;1300
130;КП-82;Вітер Йосеф Захарович;ч;2000-03-08;0;;;0
